#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
MCT,0007-2212,00:09:45.91,-21:56:14.39,0.162753,2.441292,-21.937331,sdB,,,14.9,28964,500,5.68,0.05,-4.00,0.00,Lisker05,0.0174,0.0003,0.054,,,,,15.120,0.430,14.920,0.390,,,15.440,0.430,14.950,0.420,15.035,0.025,14.803,0.037,14.797,0.008,15.302,0.011,15.554,0.055,,,,,,,,,,,,,,,,,15.6206,0.0016,,,15.752,0.057,15.825,0.143,15.503,0.184,,,,,,,,,,,,,,,,,,,15.936,0.068,16.289,,12.832,,9.020,,,,,,-3.0,1.5,8.6,1.5,-0.2,4.7,3.3,4.7,,,,,-2.6,2.6,4.8,3.4,,,,,-2.0,2.7,10.0,2.5,const,too faint,,,,,,,,,,,,,,,,
FB,3,00:10:06.92,-26:12:56.94,0.168589,2.528833,-26.215817,sdO,,1,12.6,38000,,4.50,,-0.20,,Hunger81,0.0145,0.0003,0.045,12.520,0.004,12.733,0.003,,,,,12.690,0.230,,,12.380,0.160,12.864,0.017,12.776,0.026,12.727,0.008,13.004,0.009,13.200,0.026,,,,,,,,,,,12.1123,0.0006,12.6912,0.0003,13.0246,0.0004,13.1970,0.0006,13.3399,0.0010,12.818,0.027,12.566,0.021,12.545,0.023,,,,,,,,,,,,,,,,,,,12.571,0.023,12.646,0.027,12.530,,8.623,,,,,,-3.3,1.3,5.6,0.9,-2.4,2.3,2.9,2.4,-6.0,,2.0,,,,,,,,,,-2.3,1.5,4.6,1.4,saturated,var outbreak?,,,,,,,,,,,,,,,,
PG,0007+026,00:10:08.80,02:52:33.11,0.169111,2.536667,2.875864,sd,,,15.9,,,,,,,,0.0236,0.0012,0.073,14.909,0.016,15.247,0.011,16.210,0.420,15.860,0.420,16.070,0.150,16.390,0.440,15.620,0.420,16.078,0.044,15.955,0.073,15.866,0.012,16.276,0.064,,,15.629,0.005,15.813,0.004,16.312,0.004,16.634,0.005,16.918,0.012,,,,,,,,,,,16.678,0.151,16.745,,17.391,,16.655,0.009,16.701,0.012,16.761,0.031,16.976,0.053,,,,,,,,,,,17.046,0.164,16.324,,12.477,,8.939,,-5.0,2.0,-7.0,2.0,-1.9,2.6,-4.0,3.6,-12.0,4.6,-10.7,4.6,-12.0,2.0,-4.0,3.0,-1.2,1.4,-5.4,1.1,6.7,7.1,-7.5,7.1,,,,,const,too faint,,,,,,,,,,,,,,,,
JL,163,00:10:33.21,-50:15:24.41,0.175892,2.638375,-50.256781,sdB:,,,12.8,,,,,,,,0.0150,0.0005,0.047,,,,,13.190,0.100,12.880,0.110,,,13.220,0.120,,,12.980,0.038,12.740,0.025,12.735,0.013,13.187,0.026,13.483,0.064,,,,,,,,,,,,,,,,,,,,,13.581,0.029,13.761,0.043,13.828,0.049,,,,,,,,,,,,,13.575,0.001,13.726,0.002,13.768,0.004,13.821,0.027,13.907,0.042,12.894,,9.012,,,,,,4.3,0.9,10.5,0.9,3.0,3.2,10.1,3.2,10.0,,16.0,11.0,7.2,4.0,1.0,21.0,,,,,5.6,0.9,10.1,0.7,not covered,not covered,,,,,,,,,,,,,,,,
MCT,0008-1245,00:11:25.03,-12:28:45.90,0.190286,2.854292,-12.479417,sdB,,,14.3,,,,,,,,0.0224,0.0002,0.069,,,,,14.490,0.420,14.490,0.320,,,14.780,0.420,14.490,0.430,14.512,0.064,14.309,0.029,14.288,0.019,14.706,0.035,14.974,0.103,,,,,,,,,,,13.8349,0.0015,14.2863,0.0007,14.7494,0.0010,14.9860,0.0013,15.1553,0.0027,14.746,0.041,14.505,0.065,14.356,0.072,,,,,,,,,,,,,,,,,,,14.551,0.035,14.670,0.078,12.573,,9.086,,,,,,18.7,6.1,1.2,5.0,15.5,4.2,-10.1,4.2,10.0,3.0,-10.0,6.0,25.5,2.2,-13.4,2.9,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
LAMOST,J001227.76+035431.7,00:12:27.76,03:54:31.7,0.207711,3.115667,3.908806,sdB+MS,,,13.3,,,,,,,,0.0226,0.0014,0.070,,,,,13.210,0.420,13.160,0.420,13.320,0.150,13.160,0.430,12.890,0.420,13.122,0.028,13.066,0.060,13.009,0.046,13.281,0.032,13.636,0.420,14.279,0.004,13.593,0.003,13.479,0.002,16.084,0.015,13.900,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,1.8,3.4,2.0,-6.4,5.7,10.9,5.7,,,,,saturated,too faint,,,,,,,,,,,,,,,,
JL,166,00:12:43.03,-45:51:15.49,0.211953,3.179292,-45.854303,sdBV,,,15.2,34400,,5.75,,-0.80,,Oestensen10,0.0101,0.0003,0.031,13.791,0.006,14.133,0.005,15.250,0.410,15.220,0.240,,,15.330,0.430,,,15.287,0.042,15.073,0.038,15.116,0.019,15.563,0.006,,,,,,,,,,,,,,,,,,,,,,,15.426,0.093,15.348,0.073,14.964,0.115,,,,,,,,,,,,,15.556,0.005,15.351,0.008,15.304,0.014,15.409,0.049,15.598,0.157,12.485,,9.102,,,,,,4.1,3.1,-14.4,2.5,12.6,10.2,-12.3,10.2,6.0,5.0,-20.0,6.0,,,,,,,,,4.5,4.4,-10.4,4.7,const,const,,,,,,,,,,,,,,,,
LBQS,0010+0231,00:13:23.86,02:48:15.23,0.223294,3.349417,2.804231,sdB,,,18.2,,,,,,,,0.0246,0.0003,0.076,,,20.969,0.249,17.720,0.440,17.890,0.420,17.570,0.190,17.370,0.460,18.410,0.430,,,,,,,,,,,19.061,0.026,18.218,0.007,17.922,0.007,17.787,0.007,17.769,0.020,,,,,,,,,,,,,,,,,17.168,0.012,16.957,0.015,16.585,0.023,16.648,0.039,,,,,,,,,,,16.339,0.095,16.309,0.304,12.292,,8.593,,16.0,4.0,-7.0,4.0,,,,,12.8,5.2,-8.7,5.2,12.0,1.0,-2.0,2.0,15.9,0.7,-5.5,1.1,,,,,,,,,blend,too faint,,,,,,,,,,,,,,,,
MCT,0011-3543,00:13:42.19,-35:27:01.41,0.228386,3.425792,-35.450392,sdB,,,14.6,,,,,,,,0.0115,0.0004,0.036,14.380,0.007,14.477,0.004,14.790,0.410,14.570,0.330,,,14.780,0.420,,,14.765,0.008,14.627,0.045,14.553,0.033,14.973,0.057,15.301,0.029,,,,,,,,,,,,,,,14.9852,0.0012,15.2607,0.0015,15.4478,0.0033,15.151,0.057,15.425,0.139,14.992,,,,,,,,,,,,,,,,,,,,15.488,0.047,15.610,0.132,12.937,,9.225,,,,,,-2.3,2.2,-15.4,2.5,3.2,12.1,-14.4,12.1,,,,,15.0,6.1,-9.4,3.9,,,,,-1.7,4.6,-14.6,4.3,const,const,,,,,,,,,,,,,,,,
PG,0011+221,00:14:19.28,22:24:18.14,0.238689,3.580333,22.405039,sd,,,14.0,,,,,,,,0.0611,0.0036,0.189,,,13.142,0.004,13.570,0.420,13.560,0.410,13.430,0.370,13.630,0.440,16.230,0.420,13.438,0.039,13.241,0.035,13.246,0.039,13.642,0.028,14.386,0.552,13.921,0.005,14.880,0.011,15.539,0.014,14.772,0.006,14.781,0.007,,,,,,,,,,,14.013,0.026,14.194,0.041,14.151,0.075,,,,,,,,,,,,,,,,,,,14.271,0.029,14.279,0.066,12.313,,8.853,,3.0,2.0,-2.0,2.0,2.5,1.3,-0.8,2.0,1.3,2.2,-1.4,2.2,,,,,-3.2,1.5,4.3,2.4,-3.6,5.5,-12.5,5.5,,,,,const,const,,,,,,,,,,,,,,,,
PG,0011+283,00:14:22.24,28:36:56.81,0.239511,3.592667,28.615781,sd,,1,12.5,,,,,,,,0.0322,0.0009,0.100,,,13.859,0.006,,,,,12.600,0.200,,,12.630,0.190,12.649,0.034,12.442,0.031,12.458,0.057,12.840,0.042,13.178,0.058,12.343,0.002,12.690,0.005,12.844,0.002,13.164,0.002,13.465,0.003,,,,,,,,,,,13.161,0.021,13.281,0.028,13.339,0.041,,,,,,,,,,,,,,,,,,,13.388,0.026,13.447,0.035,12.239,0.339,8.567,,0.0,0.0,0.0,0.0,2.8,1.4,-22.3,1.2,3.0,2.3,-24.1,2.3,4.0,,-26.0,,3.0,6.0,-18.1,6.5,12.6,5.1,-18.3,5.1,,,,,const,const,,,,,,,,,,,,,,,,
MCT,0013-2601,00:15:35.35,-25:45:19.16,0.259819,3.897292,-25.755322,sdB,,,16.2,,,,,,,,0.0153,0.0007,0.047,14.936,0.015,15.286,0.012,16.690,0.420,16.420,0.290,,,17.110,0.420,15.890,0.420,16.492,0.281,16.323,0.041,16.432,,16.571,,,,,,,,,,,,,,15.7150,0.0035,16.3195,0.0017,16.8313,0.0028,17.1456,0.0045,17.3972,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,17.332,0.196,16.459,,12.524,0.411,8.790,,,,,,,,,,11.7,8.4,-21.9,8.4,,,,,15.8,2.0,-29.4,1.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
MCT,0013-3645,00:16:22.45,-36:28:24.52,0.272903,4.093542,-36.473478,sdO,,,15.0,,,,,,,,0.0108,0.0003,0.033,13.309,0.004,13.905,0.002,15.070,0.420,15.070,0.280,,,15.460,0.420,,,15.125,0.045,14.844,0.044,14.870,0.037,15.362,0.063,15.690,0.123,,,,,,,,,,,,,,,15.4325,0.0013,15.7577,0.0020,16.0315,0.0043,15.913,0.078,16.274,0.244,16.275,,,,,,,,,,,,,,,,,,,,16.331,0.078,16.332,0.239,12.844,,9.046,,,,,,18.0,3.7,0.2,3.9,17.0,12.7,6.2,12.7,,,,,17.7,4.8,-5.7,3.1,,,,,18.1,4.7,5.4,4.1,const,too faint,,,,,,,,,,,,,,,,
FBS,0013+434,00:16:43.87,43:45:45.4,0.278853,4.182792,43.762611,sd,,,15.5,,,,,,,,0.0671,0.0011,0.208,,,17.191,0.041,15.310,0.420,15.410,0.420,15.420,0.330,15.380,0.430,15.670,0.420,15.559,0.067,15.506,0.099,15.460,0.052,15.655,0.075,15.993,0.204,,,,,,,,,,,,,,,,,,,,,15.476,0.051,15.447,0.090,15.569,0.166,,,,,,,,,,,,,,,,,,,15.657,0.052,15.577,0.119,13.051,,9.376,0.532,,,,,-3.9,4.3,-6.6,4.2,-0.7,4.9,-6.1,4.9,,,,,,,,,0.1,5.6,0.2,5.6,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0014+068,00:16:54.28,07:04:30.26,0.281744,4.226167,7.075072,sdBV,,,15.9,34100, ,5.77, ,-1.68, ,Oestensen10,0.0334,0.0018,0.104,15.106,0.023,15.101,0.011,16.140,0.330,16.020,0.330,16.440,0.300,16.360,0.340,15.530,0.420,16.148,0.047,15.976,0.045,15.910,0.049,16.208,0.139,16.095,,15.594,0.005,15.837,0.004,16.289,0.005,16.565,0.005,16.771,0.010,,,,,,,,,,,16.279,0.101,16.126,0.204,16.170,,16.363,0.009,16.259,0.013,16.031,0.020,15.956,0.029,,,,,,,,,,,16.122,0.088,16.024,0.255,12.483,,8.991,,-8.0,3.0,0.0,3.0,-9.1,4.4,-10.5,4.5,-5.6,5.3,-4.0,5.3,-6.0,,4.0,1.0,-9.8,2.6,-6.2,2.2,-16.0,6.8,5.5,6.8,,,,,const,too faint,,,,,,,,,,,,,,,,
PB,5844,00:17:40.52,-01:50:18.93,0.294589,4.418833,-1.838592,sdOB,,,18.1,,,,,,,,0.0265,0.0016,0.082,17.342,0.038,17.695,0.029,18.380,0.430,18.110,0.420,,,18.090,0.490,17.970,0.430,,,,,,,,,,,18.202,0.014,18.197,0.007,18.602,0.009,18.882,0.014,19.178,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,18.825,0.069,18.931,0.103,18.974,0.202,,,,,,,,,,,-2.0,3.0,-14.0,3.0,,,,,-14.4,5.0,-6.6,5.0,-6.0,1.0,-12.0,7.0,-1.9,1.6,-9.5,1.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
LBQS,0015+0216,00:17:57.08,02:33:31.87,0.299189,4.487833,2.558853,sdOB,,,17.3,,,,,,,,0.0221,0.0005,0.069,16.776,0.047,17.024,0.031,17.620,0.440,17.250,0.420,17.270,0.180,17.200,0.450,17.220,0.430,,,,,,,,,,,17.458,0.011,17.407,0.005,17.514,0.006,17.568,0.007,17.641,0.016,,,,,,,,,,,16.980,0.157,16.780,0.244,15.843,,17.126,0.012,16.955,0.015,16.750,0.027,16.687,0.041,,,,,,,,,,,17.266,0.206,16.931,,12.395,0.431,8.772,,3.0,2.0,-1.0,2.0,,,,,1.3,4.6,-2.0,4.6,,,,,6.5,1.2,-3.4,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0016+151,00:18:37.15,15:21:51.08,0.310319,4.654792,15.364189,sdO(D),,,16.4,,,,,,,,0.0382,0.0014,0.118,,,15.621,0.004,16.860,0.390,16.550,0.390,,,17.160,0.420,,,,,,,,,,,,,16.078,0.005,16.436,0.004,16.900,0.005,17.256,0.006,17.555,0.016,,,,,,,,,,,,,,,,,17.317,0.017,17.366,0.027,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,-5.0,3.0,,,,,-0.6,5.2,-12.4,5.2,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
HS,0016+0044,00:18:43.51,01:01:24.44,0.312086,4.681292,1.023456,sdB,,,14.6,28264,500,5.38,0.05,-2.66,0.05,Lisker05,0.0247,0.0003,0.077,13.732,0.004,14.412,0.004,14.820,0.370,14.830,0.360,14.710,0.150,14.960,0.390,13.900,0.420,14.900,0.026,14.709,0.060,14.697,0.064,15.065,0.033,15.310,0.243,14.522,0.004,14.646,0.003,15.079,0.004,15.344,0.004,15.545,0.006,,,,,,,,,,,15.053,0.039,14.879,0.051,14.705,0.071,19.526,0.086,20.085,0.192,14.900,0.008,14.828,0.010,,,,,15.081,0.005,14.895,0.005,14.862,0.009,14.715,0.038,14.664,0.078,12.604,,8.972,,1.0,2.0,-8.0,2.0,16.1,21.0,-10.9,17.4,0.2,3.7,-6.7,3.7,,,,,6.0,1.9,-11.2,1.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,001844.33-093855.0,00:18:44.33,-09:38:55.0,0.312314,4.684708,-9.648611,sdB,,,18.7,,,,,,,,0.0360,0.0011,0.112,19.434,0.056,19.165,0.034,18.900,0.390,18.450,0.290,,,,,18.790,0.430,,,,,,,,,,,18.905,0.024,18.598,0.008,18.904,0.011,19.156,0.017,19.380,0.082,18.7166,0.0205,18.6133,0.0063,18.9241,0.0113,19.1703,0.0213,19.2933,0.0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,-1.0,3.0,,,,,-3.0,6.0,12.8,6.0,,,,,6.8,3.7,-1.3,6.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
MCT,0016-3212,00:18:53.17,-31:56:01.79,0.314769,4.721542,-31.933831,He-sdO,,,14.2,41674,1000,5.70,0.10,2.14,0.10,Stroeer07,0.0124,0.0003,0.039,13.157,0.004,13.600,0.003,14.230,0.420,14.390,0.300,,,14.560,0.420,13.990,0.420,14.437,0.020,14.319,0.034,14.309,0.017,14.602,0.021,14.852,0.035,,,,,,,,,,,13.6822,0.0012,14.3034,0.0006,14.6141,0.0009,14.7974,0.0011,14.8960,0.0023,14.498,0.038,14.348,0.053,14.353,0.082,,,,,,,,,,,14.484,0.002,14.449,0.002,14.317,0.003,14.311,0.004,14.329,0.031,14.455,0.067,12.794,,8.736,,,,,,3.8,1.6,-15.8,1.7,4.8,5.0,-29.9,5.0,-6.0,5.0,-36.0,6.0,9.7,1.6,-21.2,2.8,,,,,1.3,4.7,-14.8,4.1,const,const,,,,,,,,,,,,,,,,
MCT,0016-3216,00:19:24.50,-31:59:52.90,0.323472,4.852083,-31.998028,sdB,,,15.2,,,,,,,,0.0124,0.0004,0.038,14.219,0.007,14.543,0.004,15.440,0.420,15.500,0.300,,,15.830,0.420,15.070,0.420,,,,,,,,,,,,,,,,,,,,,14.8566,0.0021,15.5252,0.0011,15.8659,0.0016,16.0868,0.0020,16.1871,0.0047,15.692,0.061,15.262,0.090,15.164,0.136,,,,,,,,,15.691,0.002,,,15.629,0.004,15.343,0.005,15.281,0.007,15.279,0.043,15.550,0.142,12.610,0.428,9.266,,,,,,22.7,6.3,-10.2,13.5,7.2,5.5,-15.8,5.5,,,,,9.0,1.3,-8.1,2.5,,,,,18.5,9.6,-1.7,9.4,const,const,,,,,,,,,,,,,,,,
PG,0016+285,00:19:28.95,28:44:47.40,0.324708,4.870625,28.746500,sdB,,,15.7,,,,,,,,0.0295,0.0005,0.092,15.613,0.015,15.623,0.013,15.870,0.420,15.700,0.420,15.980,0.310,16.100,0.430,15.230,0.410,15.974,0.066,15.742,0.089,15.766,0.066,16.039,0.185,,,15.781,0.005,15.666,0.004,16.108,0.004,16.367,0.005,16.638,0.009,,,,,,,,,,,16.406,0.105,16.226,0.179,15.834,0.281,,,,,,,,,,,,,,,,,,,16.764,0.131,16.265,,12.763,,9.138,,0.0,0.0,0.0,0.0,-1.9,6.3,3.6,5.9,8.3,5.1,-8.8,5.1,,,,,0.3,2.4,-3.2,3.5,-27.5,5.2,35.7,5.2,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,001930.36+135530.8,00:19:30.36,13:55:30.8,0.325100,4.876500,13.925222,sdB,,,18.0,,,,,,,,0.0521,0.0019,0.162,,,17.854,0.044,18.270,0.430,17.990,0.420,,,18.120,0.530,,,,,,,,,,,,,17.981,0.012,17.992,0.006,18.386,0.008,18.633,0.012,18.879,0.043,,,,,,,,,,,,,,,,,18.570,0.045,18.670,0.085,18.572,0.190,,,,,,,,,,,,,,,,,,,,,4.0,3.0,-2.0,3.0,,,,,-0.4,5.2,-8.8,5.2,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J00198-4132,00:19:52.41,-41:32:35.37,0.331225,4.968375,-41.543158,sdOB,,,14.8,,,,,,,,0.0083,0.0004,0.026,13.527,0.007,14.016,0.004,15.030,0.420,14.850,0.310,,,15.240,0.430,,,14.928,0.044,14.638,0.029,14.664,0.043,15.182,0.077,15.397,0.039,,,,,,,,,,,,,,,,,,,,,15.461,0.068,15.502,0.131,15.509,0.203,,,,,,,,,,,,,,,,,,,15.737,0.043,15.703,0.109,13.276,,9.494,,,,,,3.8,3.1,-17.7,1.9,15.3,11.9,-3.2,11.9,14.0,23.0,-4.0,1.0,33.9,7.7,-15.2,15.0,,,,,5.0,3.5,-17.0,3.4,const,var irregular,,,,,,,,,,,,,,,,
MCT,0018-3653,00:20:33.52,-36:36:44.52,0.342644,5.139667,-36.612367,sdB,,,15.7,,,,,,,,0.0072,0.0005,0.022,13.928,0.004,14.624,0.003,15.830,0.410,15.800,0.260,,,16.100,0.410,,,15.832,0.050,15.578,0.066,15.642,,15.962,,16.269,,,,,,,,,,,,,,,,16.0493,0.0017,16.3115,0.0025,16.5031,0.0056,15.987,0.090,16.095,0.217,16.379,,,,,,,,,,,,,,,,,,,,16.181,0.071,16.303,0.253,12.960,,9.158,,,,,,-4.2,5.6,-13.0,5.5,-3.7,12.8,-17.5,12.8,-10.0,1.0,-14.0,6.0,-18.5,12.4,2.5,15.0,,,,,-3.9,3.3,-11.1,3.1,const,too faint,,,,,,,,,,,,,,,,
EC,00179-6503,00:20:41.09,-64:47:38.37,0.344747,5.171208,-64.793992,sdO,,1,11.0,,,,,,,,0.0159,0.0004,0.049,,,,,,,,,10.470,0.040,,,11.730,0.070,10.316,0.023,11.318,0.005,10.941,0.193,10.071,0.056,9.673,,,,,,,,,,,,,,,,,,,,,,8.476,0.030,7.918,0.044,7.802,0.046,,,,,,,,,,,,,,,,,,,7.758,0.025,7.842,0.021,7.748,0.016,7.834,0.124,,,,,-3.0,0.7,11.1,0.7,-2.1,2.2,10.1,2.2,-4.0,,10.0,,24.8,5.2,-2.3,4.1,,,,,-1.9,0.9,11.8,0.7,const,const,,,,,,,,,,,,,,,,
MCT,0018-1714,00:21:22.45,-16:57:48.30,0.356236,5.343542,-16.963417,sdB+F/G,,,16.5,,,,,,,,0.0233,0.0005,0.072,15.807,0.021,16.003,0.014,16.310,0.420,16.530,0.340,,,16.060,0.430,16.480,0.060,16.442,0.092,16.605,0.085,16.519,,16.376,,16.451,,,,,,,,,,,,,,,,,,16.5561,0.0029,16.5536,0.0058,15.919,0.066,15.842,0.133,15.242,,,,,,,,,,,,,,,,,,,,15.659,0.058,15.774,0.180,12.706,,9.084,,,,,,4.0,5.3,-6.7,5.1,6.6,4.3,-15.1,4.3,,,,,5.2,3.0,-4.9,2.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
HE,0019-5545,00:21:27.67,-55:29:12.30,0.357686,5.365292,-55.486750,sdB,,,16.0,35662,500,5.86,0.05,-1.44,0.05,Lisker05,0.0111,0.0011,0.035,14.804,0.013,14.899,0.009,16.090,0.420,16.120,0.290,,,16.620,0.430,,,16.170,0.086,15.905,0.027,15.919,0.016,16.400,0.116,16.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.844,0.010,,,17.152,0.072,16.222,0.073,17.000,0.457,13.005,,9.157,,,,,,,,,,4.2,17.4,-11.8,17.4,,,,,0.3,5.8,-6.4,2.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
MCT,0019-2441,00:21:58.68,-24:25:21.02,0.366300,5.494500,-24.422506,sdO,,,14.2,,,,,,,,0.0155,0.0007,0.048,12.714,0.005,13.647,0.004,14.620,0.290,14.240,0.210,,,14.700,0.280,14.010,0.270,14.463,0.006,14.168,0.023,14.168,0.016,14.671,0.053,14.965,0.046,,,,,,,,,,,,,,,,,,,15.3284,0.0031,15.167,0.039,15.580,0.108,15.306,0.139,,,,,,,,,,,,,,,,,,,15.576,0.053,15.542,0.149,12.801,,8.454,,,,,,30.2,8.1,5.7,2.1,29.3,4.8,-2.0,4.8,20.0,5.0,6.0,2.0,28.9,5.4,-1.9,5.6,,,,,32.1,3.6,5.4,3.3,const,const,,,,,,,,,,,,,,,,
FBS,0019+402,00:22:23.15,40:25:50.30,0.373097,5.596458,40.430639,sd:,,,16.6,,,,,,,,0.0508,0.0012,0.158,,,21.249,0.283,15.730,0.420,16.790,0.420,16.200,0.370,15.530,0.430,16.820,0.420,,,,,16.512,0.082,16.011,0.063,15.819,,,,,,,,,,,,,,,,,,,,,,14.929,0.042,14.569,0.056,14.472,0.066,,,,,,,,,,,,,,,,,,,14.595,0.032,14.622,0.065,12.871,,8.745,,,,,,-8.9,4.7,-12.4,4.9,-8.3,4.1,-8.1,4.1,-8.0,2.0,-6.0,3.0,,,,,-1.4,6.0,-13.9,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,0020+240,00:23:03.46,24:19:08.72,0.384294,5.764417,24.319089,sdB,,,15.4,,,,,,,,0.0310,0.0029,0.096,14.693,0.012,14.972,0.008,15.340,0.420,15.450,0.420,15.760,0.320,15.320,0.430,14.730,0.430,15.563,0.054,15.547,0.054,15.461,0.057,15.615,0.076,15.655,,15.312,0.004,15.400,0.003,15.587,0.003,15.662,0.004,15.719,0.006,,,,,,,,,,,15.143,0.045,14.766,0.062,14.689,0.113,,,,,,,,,,,,,,,,,,,14.652,0.034,14.654,0.073,12.557,,9.009,,7.0,2.0,-6.0,2.0,9.3,3.2,-6.1,3.7,10.7,4.2,-10.1,4.2,8.0,3.0,-6.0,1.0,11.3,3.5,-8.5,3.5,9.0,5.2,4.6,5.2,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,002323.99-002953.3,00:23:23.99,-00:29:53.3,0.389997,5.849958,0.498139,sdB+WD,,,,29200,500,5.69,0.05,-2.00,0.10,Geier15,0.0211,0.0006,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
FBS,0021+418,00:23:55.22,42:09:04.9,0.398672,5.980083,42.151361,sd,,,15.6,,,,,,,,0.0563,0.0007,0.174,14.698,0.010,14.949,0.007,15.760,0.420,15.830,0.420,15.810,0.300,16.070,0.430,15.260,0.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.292,0.105,16.311,0.174,16.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,5.4,-5.6,5.4,,,,,,,,,14.6,5.6,5.7,5.6,,,,,not covered,too faint,,,,,,,,,,,,,,,,
MCT,0021-2326,00:23:59.32,-23:09:53.89,0.399811,5.997167,-23.164969,sdB+MS,,,15.9,32318,0,5.16,0.00,-3.04,0.00,Lisker05,0.0154,0.0006,0.048,14.750,0.019,15.211,0.007,15.930,0.390,16.000,0.260,,,15.840,0.390,15.870,0.380,15.944,0.051,16.000,0.067,15.853,0.049,16.093,0.101,15.803,0.297,,,,,,,,,,,,,,,,,16.1316,0.0029,16.2304,0.0051,15.690,0.073,15.727,0.152,15.426,,,,,,,,,,,,,,,,,,,,15.673,0.063,16.024,0.232,12.244,,8.892,,,,,,5.6,3.7,-11.5,2.8,8.6,4.9,-7.4,4.9,,,,,-2.2,3.0,-15.3,1.6,,,,,9.5,4.8,-6.9,4.5,const,too faint,,,,,,,,,,,,,,,,
